,username,sentiment,sentimentComm
0,condemeins,0.0,1
1,[,0.0,1
2,,6.965545826641112,1
3,g,0.0,1
4,o,0.0,1
5,b,0.0,0
6,i,0.0,0
7,e,0.0,0
8,r,0.0,0
9,n,0.0,1
10,d,0.0,0
11,c,0.0,1
12,h,0.0,1
13,l,0.0,1
14,],0.0,1
15,thatdebonair,21.20874566084659,0
16,x,0.0,0
17,9,0.0,1
18,3,0.0,1
19,1,0.0,1
20,nontandomagagu3,13.798507849334236,1
21,v,0.0,1
22,m,0.0,0
23,t,0.0,0
24,_,0.0,0
25,z,0.0,0
26,sanam41124129,9.377234340189624,1
27,s,0.0,1
28,a,0.0,0
29,fahimayaz5,0.0,0
30,u,0.0,0
31,j,0.0,0
32,k,0.0,0
33,jrdm_rose,21.818040516035445,1
34,w,0.0,1
35,zeinobia,3.66284993869057,0
36,2,0.0,1
37,4,0.0,1
38,alva_vazquez,0.0,1
39,ilkhaagency,-3.477540023832958,1
40,hcilesiz10,0.0,0
41,y,0.0,0
42,dpiresearch,5.464012698352882,1
43,f,0.0,1
44,lady_lelle,13.583234029324906,0
45,jane_lam18,22.582767732241855,0
46,tentendidiza,20.960053883218492,1
47,bashini_naicker,0.0,1
48,p,0.0,1
49,iamdeewee,-15.333402414382673,0
50,q,0.0,0
51,news5ph,-0.1064405703755682,1
52,niniqhawekazi,-27.970053365110616,0
53,sowetanlive,2.7371638775193006,1
54,jmalsin,2.127869022330451,0
55,izwelethu_,20.649189161183358,1
56,rohanitarohin,22.582767732241855,1
57,mgilijaccc,-2.092119579296412,1
58,tostevinm,3.9547173721568853,0
59,getrichpinoy,29.104709600538833,0
60,soyisoq,6.520387544686805,0
61,idiltoffolo,0.0,0
62,asiabites,0.0,0
63,miamalan,8.58452929900006,1
64,sanaoilmayjowa1,1.7455054142272388,1
65,ido_cg,-17.842080721206152,1
66,vaccinatedpk,21.984353142324238,1
67,crespo1ein,16.136676856121447,0
68,philippinestar,1.9618549085230867,0
69,yoncabulutmd,11.167815139111966,1
70,philstarnews,1.7784005539044152,1
71,alexisbromero,1.6626081550178746,1
72,66amanda2168,0.0,1
73,purple97__,19.648204756230243,0
74,dzbb,0.48803793861274514,1
75,teejval,-13.377441583337653,1
76,mjblancaflor,3.1958397609349944,1
77,inquirerdotnet,1.4957918127443044,0
78,kaguilarinq,0.6732293663540752,0
79,dof_ph,5.278482980156475,0
80,phornphatth,0.0,0
81,newsrmn,0.006798203264708036,0
82,politiko_ph,1.7480534857193355,0
83,virginiaespino5,-25.495570177711,1
84,inyiyruma,10.651779700533652,0
85,mwaleed84523041,-0.4796642661001975,1
86,amadeusstoic,-2.899257625437617,0
87,7,0.0,0
88,mariapa20350590,-19.88135329775659,0
89,abhishekbhaya,1.8651883322107672,0
90,sanidar786,11.97917206362365,0
91,amnaa_tariq,15.967566447334335,0
92,ovulakyol,0.0,1
93,zeeshan_zaffer,10.67416196052018,0
94,hamidmerchant,0.0,0
95,loner_gurlz,-6.630226413139212,0
96,garryloke,0.0,0
97,lxp123456a,24.58473654214808,1
98,chinaobserver2,1.9159158027610488,0
99,qianng4,3.464587327081503,1
100,globalnewsth,-0.10297393917413444,1
101,aashirmuhammad4,-16.88772602455831,0
102,0,0.0,1
103,aefruzb,0.0,0
104,nrisodera,5.774312211802503,1
105,jeremyunicef,20.960053883218492,1
106,padrealex,9.810890627428634,1
107,bhanujadesillva,20.52173462514896,0
108,6,0.0,1
109,5,0.0,1
110,8,0.0,1
111,abelmafhoho,-9.666338531682296,0
112,whoegypt,3.44179058079893,0
