,username,sentiment,sentimentComm
0,bomac_macbo,0,0
1,chi_soc,0.0,0
2,lesleytweeters,-6.073600973236008,1
3,alexmohajer,0,1
4,dumidyeypee,0,0
5,drcharitydean,0,1
6,colin_fine,24.23965936739659,1
7,mrshoneydrop,-25.13686131386861,1
8,tokiwartooth14,0,0
9,gerat1t,-7.4695863746958615,0
10,woodford_henry,0,0
11,sindhgovt_,0,0
12,gemmaawills,0.0,0
13,kristenjayne1,-10.273722627737222,1
14,chalkbeatny,0,1
15,mongo3804,0,1
16,ncdcgov,8.924371451743717,0
17,jdish19581,0,0
18,todayxtoday,0,0
19,madmamajama,-29.19403892944039,0
20,stonegirl04,0,0
21,mihirkjha,0,0
22,smallredone,2.3661800486618034,0
23,evescottgarner,0,0
24,kaff87,12.241484184914846,1
25,doritmi,-1.1576005097902886,1
26,meshcampaign,0,0
27,tylerpager,0,0
28,kakaouou1,0,1
29,timalymorlins,0.0,0
30,hamidmirpak,0,0
31,gingersnap_,0.0,0
32,kingdomfmnews,2.3661800486618034,0
33,sir_bradford,0,0
34,akecassels,0,1
35,michaelogden67,15.547445255474457,0
36,sdlcrodriguez,0.0,0
37,regularanon,0,0
38,greggardner11,-5.392335766423361,1
39,drnickmann,28.138686131386862,0
40,bernard_karin,-23.762165450121657,0
41,cadmhc,0,1
42,takethatepi,0,0
43,vetpractice_mag,6.900851581508519,0
44,kaupapa,0,0
45,jdoza1,0,1
46,edin_eid,0.0,0
47,inrealisation,-27.91970802919708,0
48,schlegality,12.642944038929436,1
49,amymorg79793405,0,1
50,senatorduff,0,1
51,marithomas88,0,0
52,freeireland19,-8.015510948905106,0
53,asadmaijaz,0,0
54,georgegalka,0,1
55,melissalmrogers,0,1
56,kylemacd,-6.114152473641525,0
57,mrmeise,4.613746958637471,1
58,sundeepthakur57,19.02372262773723,0
59,dtrump_cat,0,0
60,mbaturner,0,0
61,scotsguy_61,26.44464720194648,0
62,carlosbedson,0,0
63,c_savun,-21.280413625304135,1
64,pacificbird,0.0,1
65,faosfsafrica,0,0
66,greenheartsinfo,10.883515815085161,1
67,daneelr_olivaw,-13.114355231143552,1
68,andrewsmall246,2.490875912408761,1
69,tomdarton1,0,0
70,shinchan1818,13.866585563665865,0
71,rationalpo,0,0
72,sithraider,17.06508515815085,1
73,fateweaverchan,0,1
74,delphingen,0,0
75,neurosturgeon,0.0,1
76,aimeedartnall,0,0
77,sarahvetwales,0,0
78,ghobubo,0,1
79,newwaysorg,13.41240875912409,0
80,meizhongbai,-0.7664233576642339,1
81,paulied1970,3.25121654501217,1
82,kate_dowlingnz,0,0
83,ball10_ball,4.6745742092457405,0
84,anon85q,-0.24548140424052534,0
85,phlitalian,0,1
86,galantemd,0,0
87,bahanee,2.3661800486618034,0
88,rolotheblackdog,-14.47992700729927,0
89,acetress,0.0,1
90,vmdgovuk,0,0
91,dianasbackbaby,0,0
92,nontheist1,0,0
93,mssammysam,22.375304136253042,0
94,akazukinchanx2,0,0
95,hepatitiszeromx,0,0
96,mpavictoria,0,1
97,helmatyler,22.375304136253042,0
98,jblackmermd,0,1
99,radiocityindia,0,0
100,johnfocook,0,0
101,jenmaywilson,0,0
102,asf419,-22.87256690997567,0
103,bitginger,-13.44890510948905,1
104,barryr33082845,4.118183769858305,0
105,bleejiofor,0,0
106,jacketman10,0,1
107,zagnett,0,1
108,traciejolliff,0,0
109,frenthegeordie,0.0,0
110,laurahoppenjans,0,0
111,rnadvocating,0,0
112,prizecoalition,-19.251824817518248,0
113,bopcareers,0,1
114,jimmy_mac1982,11.003649635036503,1
115,janeyt65,12.241484184914846,0
116,glenina1981,0,0
117,crouchingweasel,0,1
118,kishimalik01,-27.131995133819952,0
119,pinoytapsilog,0,0
120,projectcmd,0.0,1
121,kayfellowz,-11.1080697485807,1
122,tyrewulf,0,1
123,sciencevisuals,0,1
124,crmptnjac,0,0
125,theparamgulati,-12.752433090024333,0
126,alzresearchuk,0,0
127,girishchavda005,18.44434306569343,0
128,mallamaustin,0,0
129,basedpoland,0,1
130,williamsa2431,0,0
131,teedisme,0,1
132,susanogden2,-16.438564476885645,1
133,jellyfishrave,0,1
134,pquinn2007,0,1
135,maddiepti,0,0
136,drscbrown,28.117396593673966,1
137,rahulias6,0.8029197080291972,0
138,chattycathy2014,-2.6870437956204363,0
139,cwatsonharris,0,1
140,gchqlistening,-23.746958637469586,1
141,myavelli,12.241484184914846,0
142,jenny34828621,15.881995133819949,1
143,neilfonda,0,1
144,post_courier,0,0
145,muhamma08706366,10.794555961070557,0
146,furmple,21.438564476885652,1
147,sporkliftdriver,12.043795620437962,1
148,carolchenco,14.516423357664237,0
149,rcrockett,6.170924574209252,1
150,drjsilverman,14.070863746958636,1
151,countcarbon,0,0
152,agnosticliberty,0,1
153,supt_hoffman,0,0
154,jamapediatrics,-12.80109489051095,1
155,drmwalkermd,24.732360097323607,1
156,kendallybrown,0,1
157,parapraxis1980,0,0
158,vaccinechoiceca,2.692619626926195,1
159,goodhopsbadhops,-20.68734793187348,1
160,terrymcleod6,-28.020072992700733,1
161,mikkyjay36,-16.47506082725061,0
162,raiderspaceman,24.064781021897808,1
163,elcontador2000,0,0
164,twinklestarlet,-4.638077858880777,0
165,mma_mv,-23.017031630170315,0
166,frozenwarning,11.277372262773724,0
167,chronic_flight,12.241484184914846,0
168,benallenca,0,1
169,wade_jeremy76,0,1
170,chanelloliver,0,1
171,liberalismreal,0,0
172,tommydog123,0,0
173,rowandean,0,1
174,kyuofcosmic,-11.900851581508515,0
175,tteague,0,0
176,birmingham_live,-16.47506082725061,0
177,lyleshelton,0,1
178,alibabberto,-25.89111922141119,0
179,try_thinking,0,0
180,alertcalgarian,0,1
181,senatorshoshana,0,1
182,coughdrop2270,-28.77737226277372,0
183,grandstrander,0,0
184,thisismenic70,0,0
185,olf1917,16.14355231143552,1
186,raga__m,-13.935523114355231,1
187,zamoraconsgrp,-8.975060827250605,1
188,clariceresists,0.0,0
189,vaccinateurbaby,0,0
190,sianshaw1,18.80474452554745,0
191,ck4q,0,1
192,penleetheatre,0,0
193,cnnopinion,0,0
194,navycaptret63xx,0,0
195,rpd0319,-13.604014598540147,1
196,sin_neonati,0,1
197,nalboh,0,1
198,welshwoman,-15.51094890510949,0
199,d15327550,-25.425790754257907,1
200,saxinstitute,16.73661800486618,0
201,kali_s__,26.14659367396594,0
202,hallpaintings,24.56204379562044,0
203,vickijo95367827,3.911192214111928,1
204,chaimdeutsch,0,1
205,aisling_pash,0.0,0
206,ibddoctor,21.569343065693438,0
207,mak7pia,0,0
208,arlenwms,-15.57177615571776,1
209,andy_hc,0,1
210,coby_thetankie,0,1
211,kamasse81,0,1
212,oxleythebeardog,0,1
213,tweetingastrid,14.516423357664237,0
214,cmc0470,13.41240875912409,1
215,mrben___,-18.92639902676399,0
216,lesuknight,-19.209245742092456,0
217,brneydash1987,-5.8323195458231964,1
218,platoscave007,0,1
219,merrion,-12.80109489051095,0
220,tvcnewsng,11.651459854014604,0
221,djohnston1976,-22.28102189781022,1
222,donnatchun,-18.60705596107056,1
223,leepers500,21.316909975669105,1
224,xbayona,-23.248175182481752,0
225,mis_diagnosed1,0,1
226,gaurachand,11.22490875912409,0
227,sarahlucy123,22.360097323600982,0
228,sheriffguerra,0,1
229,johnben30549105,0,0
230,ckimoo,0,1
231,dr_ijs,0,1
232,cpkarimnagar,0,0
233,billsmithers12,0,0
234,iamfrogprincess,0,0
235,patsy_glasgow,21.599756690997573,0
236,angieun27401972,0,1
237,dodigon,-12.80109489051095,0
238,secret18310960,-0.7664233576642339,0
239,onduhungirehe,0,0
240,in2019porge,0,1
241,dorypadstow,16.03710462287105,0
242,seattlechildren,0,1
243,bilks,-13.330291970802918,0
244,adamhfinn,-7.150243309002434,0
245,ericfevre,0,0
246,sexybrowntaz,0,1
247,azdhs,8.928933495539333,1
248,allisonschemist,15.930656934306569,0
249,fuzzrose,0.0,0
250,inminivanhell,-12.80109489051095,1
251,mickyjimball,0,0
252,janetmutesi102,12.96897810218978,0
253,takethatcdc,0.1880998242768328,1
254,jyotishelar,0,0
255,brookeafu,0,1
256,lilarawakboy,-12.703771289537713,1
257,edwardhenry1,0,0
258,collegeboy9,0,1
259,informedwa,2.1836982968369867,1
260,jesscataldi,0,0
261,pastoralexlove,0.0,0
262,samisoderlund,0.854622871046228,1
263,larryputt,0,0
264,wmacphail,0,1
265,derpnaros,0,0
266,jay_kofa,0,1
267,1voiceofreason2,0,0
268,mygishaccount,10.304136253041364,0
269,medickinson,0,0
270,wcipglasgow,0,0
271,pioneerraipur,0.0,0
272,valkyrry,0,0
273,dortimi,0,1
274,ladygags_,0,1
275,stemcell_parent,-0.05930656934306455,1
276,paulg,0.8029197080291972,1
277,awosaibi,0.0,0
278,lu_writer1620,0.0,0
279,tjaulow,0,1
280,epikmemekid1998,0,1
281,kenyamedics_kma,0,0
282,uoe_stis,0,1
283,johnckerr1,-11.934306569343065,1
284,waitingforsense,0.0,0
285,az_patriots,0,1
286,aotearoanjames,-18.21167883211679,0
287,goodthinkingsoc,0,1
288,philosophytube,0,1
289,willwaldron,-16.934306569343065,1
290,mrjkilcoyne,0,1
291,drexelglobal,0,0
292,hoffmanhopes,-4.423154906731547,1
293,seankent,0,0
294,sacpublichealth,0,1
295,abc7adrienne,0,1
296,aviodwarf,-10.65693430656934,1
297,idinchildren,-0.46076642335766493,0
298,2020weinhold,0,1
299,derektighe1,3.614659367396591,1
300,vin_mistry,0,1
301,roblox_granny,0,0
302,carriepoppyyes,0,1
303,idahomran,20.410583941605843,0
304,aliabu08941619,0,0
305,blaidd_tx,0.0,1
306,youngmelton42,0,0
307,richiehayes2,0,1
308,sam_deloach,0,0
309,truegoose2,-10.069951338199512,1
310,raininginparis2,0,1
311,penelopep12,0.0,1
312,uggie14,0,1
313,pearlelisabeth,0.0,0
314,mikeroscoe67,-14.47992700729927,0
315,blueunicornmoon,0,0
316,stefenralph,0,0
317,5lamm3r,12.837591240875916,0
318,awayfromthekeys,-27.58515815085158,0
319,anonsquad035,0,1
320,sebedes,0,1
321,griffon49,0.0,1
322,shehzadniaz8,0,0
323,bootsuk,0.0,0
324,drtiborkdr,1.3625304136253007,1
325,wavaorg,9.920924574209245,0
326,susanhennessy59,-26.000608272506085,0
327,paulr140,0,0
328,beverlysand1,-19.3521897810219,0
329,lekh27,1.1202351987023569,1
330,madnessofkate,16.51155717761558,1
331,reversegirraffe,0.0,1
332,nubsmack,0,1
333,like_h2o,0,0
334,rachaelahancock,10.358880778588812,1
335,cwruthinkbox,0,0
336,98wongjf,24.668491484184912,1
337,kailashbaytu,0,0
338,tacianomilfont,0,0
339,bellisaurius,20.082116788321173,1
340,nvsasn,-18.21167883211679,1
341,fox7austin,11.13240064882401,0
342,imapatriot3,0,0
343,papa250254,0,1
344,kung_fu_koala,-25.535279805352797,0
345,kfc,0,1
346,ithinkaboutbeer,0,1
347,mfrtiangco,0.0,0
348,sexydjbabylynn,-16.785279805352793,0
349,foxontherunway,7.621654501216547,1
350,pacflyway,0,1
351,louisrlogan2,19.589416058394164,1
352,saratraceytu,-13.935523114355231,1
353,drdmacintyre,0,1
354,simonahac,0,0
355,brposhan,0,0
356,toxicsfree,-1.5510948905109458,1
357,zulmacucunuba,0,0
358,seteth2,0,1
359,ellenkoko,0,1
360,karlmar05384385,0.0,0
361,brendanlharney,0,0
362,smartestgenes,-10.100364963503647,1
363,reneweurope,0,0
364,shukrimartin,0.0,1
365,niceweecod,-13.552311435523116,0
366,sehartariq,0,1
367,maitaaquino,0.0,0
368,garethicke,0,1
369,2travelers2,-10.967153284671536,1
370,r_s_p_h,11.422141119221415,0
371,urbanninja1982,27.147201946472023,0
372,harp1114,0,0
373,aglibdem,15.133819951338197,1
374,johnny_hotshot,-8.236009732360095,1
375,lemonysnick111,0,1
376,honey172008,0,1
377,edcara4,16.74067315490673,1
378,petedominick,0,1
379,pratiba_sk,21.599756690997573,0
380,celiafarber,-19.930048661800484,1
381,om_eye_goodness,0,1
382,tommousk,20.082116788321173,0
383,alice_shoulder,0,0
384,theduckwarrior,0,1
385,dinesh_chawla,15.547445255474457,0
386,streaky81,-18.429643146796433,1
387,eachus,3.8655717761557185,0
388,boggywood,0,0
389,lightchaser17,14.081508515815088,1
390,s_ahmed4,0,0
391,ahsanrazauk,-27.460462287104622,1
392,slatz_soapbox,13.923357664233578,0
393,kevbaile,5.428832116788328,1
394,lisa2oz,1.5875912408759127,0
395,sideflipz,-10.92153284671533,1
396,mamagraynor,-22.08941605839416,1
397,jaydaws3,0,0
398,ex2tory,17.82846715328467,0
399,sahilsameeroo7,13.41240875912409,0
400,smpackham,1.993395898505387,1
401,frandavi99,0.0,0
402,kikijean22,16.335158150851584,1
403,jennifer_grunig,-5.275750202757504,1
404,kenhicken,0,1
405,californianp,18.14476885644769,0
406,kinkermichards,0,0
407,arzakkhan,13.41240875912409,0
408,deals_bilities,-0.5626520681265212,1
409,jacquelinempor2,-20.02433090024331,1
410,botbutty,0,0
411,lori55777041,-14.796228710462286,1
412,davidclarknz,0,0
413,mebeandreaaolco,0,0
414,zilaaurangabad,0.0,0
415,grasscouch,-19.70802919708029,1
416,someotherperso3,0,0
417,65wz,0,0
418,jschmidt27,6.900851581508519,1
419,speedymc67,0,1
420,rarebirdalertuk,0,0
421,yarrowleonura,-23.451946472019465,1
422,y_ict,0,0
423,omahaspeak,0,1
424,tanjay81,-10.967153284671536,0
425,piyushgoyal,0,0
426,bobtrlin,-20.83181265206813,1
427,yale,0,1
428,jennifermesq,5.428832116788328,0
429,markthorsby1,0,1
430,ajkdonline,21.262165450121657,0
431,hugo_indalecio,0.0,0
432,mikealbertmd,-13.375912408759124,1
433,chromosomegrav1,0,0
434,matunos,11.947992700729927,1
435,britainelects,0,0
436,dennislinthicum,0.0,1
437,misssp00n,0,1
438,markassini,0,1
439,katherinesing14,5.842457420924582,1
440,cathy__yang,0,0
441,will_cherie,0,1
442,brau_matt,6.900851581508519,1
443,roxane72page,-27.25060827250608,1
444,pakistanirazi,9.020681265206811,0
445,billy_penn,0.0,0
446,arturozunigaj,0,0
447,qriouskate,-7.504562043795616,0
448,emoryrollins,0,1
449,ndmedassn,19.388686131386862,0
450,doqholliday,0,0
451,di77,0,0
452,whokenya,12.664233576642339,0
453,tejalvaghela15,0,0
454,keithmillsd7,-13.463098134630982,1
455,banibaba2,-21.538929440389296,1
456,rosemarychapman,1.5875912408759127,1
457,qnnduke,14.531630170316305,1
458,pina_insurance,0,1
459,erniepenley,-11.593673965936741,0
460,lifelighted,-5.958463677441777,1
461,alexinlaw,0.0,0
462,matsyngens,16.763990267639898,1
463,pharmacopsych,-0.3740875912408761,0
464,109psalm,0,0
465,ostrom_richard,-25.340632603406327,1
466,pamelaaranyos,-14.23661800486618,1
467,deborahrobb6,13.929440389294399,0
468,hturtfor,0,1
469,aspieaware,0,1
470,ruma1980,-8.984184914841848,0
471,shaftoflame,0.2022506082725073,0
472,docmom_tx,14.537712895377126,1
473,mssarahradz,0.0,0
474,newsbehindthen2,-10.875912408759124,0
475,donbo1,-15.51094890510949,0
476,grapeloverchi,0,1
477,cwru,19.02372262773723,0
478,charles_gaba,0,1
479,maxb1ack,-9.659367396593673,0
480,mum2lg,-8.421532846715326,1
481,jenrauls,0,0
482,svagdis,-5.1224148418491495,1
483,iadnam1,0,0
484,early168,0,0
485,closetextrovert,-14.963503649635035,1
486,doodlebug7779,-7.611516626115165,1
487,jackletaylor,0.0,0
488,uofuresearch,0,0
489,meaningofcare,0,0
490,tchivese,16.03710462287105,0
491,bbcpointswest,0,0
492,lindyprec,0,0
493,pickeringmedic,0,0
494,fatsfats1,-3.816909975669102,1
495,init4health,1.1922141119221443,1
496,theprojecttv,0,0
497,kranecaleb,0,1
